created_at,entry_id,field1,field2,field3,field3 percentage,status
2020-10-02 10:22:40 UTC,1912,31,80,500,51.1,0
2020-10-02 10:22:57 UTC,1913,31,81,500,51.1,0
2020-10-02 10:23:14 UTC,1914,31,81,495,51.6,0
2020-10-02 10:23:32 UTC,1915,31,82,496,51.5,0
2020-10-02 10:23:49 UTC,1916,31,80,496,51.5,0
2020-10-02 10:24:06 UTC,1917,31,80,495,51.6,0
2020-10-02 10:24:23 UTC,1918,31,78,495,51.6,0
2020-10-02 10:24:40 UTC,1919,31,80,495,51.6,0
2020-10-02 10:24:58 UTC,1920,31,79,499,51.2,0
2020-10-02 10:25:15 UTC,1921,31,78,499,51.2,0
2020-10-02 10:25:32 UTC,1922,31,79,499,51.2,0
2020-10-02 10:25:49 UTC,1923,31,83,499,51.2,0
2020-10-02 10:26:07 UTC,1924,31,81,499,51.2,0
2020-10-02 10:26:24 UTC,1925,31,80,494,51.7,0
2020-10-02 10:26:41 UTC,1926,31.1,83,494,51.7,0
2020-10-02 10:26:58 UTC,1927,31,80,493,51.8,0
2020-10-02 10:27:15 UTC,1928,31,78,493,51.8,0
2020-10-02 10:27:33 UTC,1929,31,79,493,51.8,0
2020-10-02 10:27:50 UTC,1930,31,79,494,51.7,0
2020-10-02 10:28:07 UTC,1931,30.9,76,497,51.4,0
2020-10-02 10:28:24 UTC,1932,30.9,76,497,51.4,0
2020-10-02 10:28:41 UTC,1933,31,78,497,51.4,0
2020-10-02 10:28:59 UTC,1934,31,77,497,51.4,0
2020-10-02 10:29:16 UTC,1935,31,77,493,51.8,0
2020-10-02 10:29:33 UTC,1936,31.1,81,497,51.4,0
2020-10-02 10:29:50 UTC,1937,31,79,496,51.5,0
2020-10-02 10:30:08 UTC,1938,31.1,84,497,51.4,0
2020-10-02 10:30:25 UTC,1939,31,79,493,51.8,0
2020-10-02 10:30:42 UTC,1940,31,81,497,51.4,0
2020-10-02 10:30:59 UTC,1941,31,81,493,51.8,0
2020-10-02 10:31:16 UTC,1942,31,82,493,51.8,0
2020-10-02 10:31:34 UTC,1943,31,81,490,52.1,0
2020-10-02 10:31:51 UTC,1944,31,78,493,51.8,0
2020-10-02 10:32:08 UTC,1945,31,79,493,51.8,0
2020-10-02 10:32:25 UTC,1946,31,78,497,51.4,0
2020-10-02 10:32:42 UTC,1947,31,83,493,51.8,0
2020-10-02 10:32:59 UTC,1948,31.1,79,497,51.4,0
2020-10-02 10:33:17 UTC,1949,31,80,493,51.8,0
2020-10-02 10:33:34 UTC,1950,31,81,492,51.9,0
2020-10-02 10:33:51 UTC,1951,31,79,490,52.1,0
2020-10-02 10:34:08 UTC,1952,31,79,490,52.1,0
2020-10-02 10:34:25 UTC,1953,31.1,78,490,52.1,0
2020-10-02 10:34:43 UTC,1954,31.1,79,496,51.5,0
2020-10-02 10:43:11 UTC,1955,30.9,80,364,64.4,0
2020-10-02 10:43:29 UTC,1956,30.8,79,402,60.7,0
2020-10-02 10:43:46 UTC,1957,30.8,78,427,58.3,0
2020-10-02 10:44:03 UTC,1958,30.8,79,449,56.1,0
2020-10-02 10:44:20 UTC,1959,30.8,78,460,55,0
2020-10-02 10:44:37 UTC,1960,30.8,78,474,53.7,0
2020-10-02 10:44:55 UTC,1961,30.9,79,475,53.6,0
2020-10-02 10:45:12 UTC,1962,30.9,83,477,53.4,0
2020-10-02 10:45:29 UTC,1963,31,83,478,53.3,0
2020-10-02 10:45:46 UTC,1964,30.9,80,486,52.5,0
2020-10-02 10:46:03 UTC,1965,30.9,80,483,52.8,0
2020-10-02 10:46:20 UTC,1966,30.9,84,485,52.6,0
2020-10-02 10:46:38 UTC,1967,30.9,79,487,52.4,0
2020-10-02 10:46:55 UTC,1968,30.9,81,489,52.2,0
2020-10-02 10:47:12 UTC,1969,30.9,81,493,51.8,0
2020-10-02 10:47:29 UTC,1970,31,82,495,51.6,0
2020-10-02 10:47:46 UTC,1971,31,83,497,51.4,0
2020-10-02 10:48:03 UTC,1972,30.9,82,499,51.2,0
2020-10-02 10:48:21 UTC,1973,30.9,82,499,51.2,0
2020-10-02 10:48:38 UTC,1974,30.9,79,500,51.1,0
2020-10-02 10:48:59 UTC,1975,30.9,80,500,51.1,0
2020-10-02 10:49:17 UTC,1976,30.9,79,500,51.1,0
2020-10-02 10:49:34 UTC,1977,30.9,81,500,51.1,0
2020-10-02 10:49:51 UTC,1978,30.9,81,502,50.9,0
2020-10-02 10:50:08 UTC,1979,30.9,80,502,50.9,0
2020-10-02 10:50:26 UTC,1980,30.8,78,502,50.9,0
2020-10-02 10:50:43 UTC,1981,30.9,78,502,50.9,0
2020-10-02 10:51:00 UTC,1982,30.9,79,502,50.9,0
2020-10-02 10:51:17 UTC,1983,30.8,79,502,50.9,0
2020-10-02 10:51:34 UTC,1984,30.9,84,507,50.4,0
2020-10-02 10:51:52 UTC,1985,30.9,84,502,50.9,0
2020-10-02 10:52:09 UTC,1986,30.9,84,507,50.4,0
2020-10-02 10:52:26 UTC,1987,30.9,81,502,50.9,0
2020-10-02 10:52:43 UTC,1988,30.9,80,502,50.9,0
2020-10-02 10:53:00 UTC,1989,30.9,81,502,50.9,0
2020-10-02 10:53:17 UTC,1990,30.9,81,502,50.9,0
2020-10-02 10:53:35 UTC,1991,30.9,80,506,50.5,0
2020-10-02 10:53:52 UTC,1992,30.9,81,502,50.9,0
2020-10-02 10:54:09 UTC,1993,30.9,83,502,50.9,0
2020-10-02 10:54:26 UTC,1994,30.9,83,502,50.9,0
2020-10-02 10:54:43 UTC,1995,30.9,81,502,50.9,0
2020-10-02 10:55:01 UTC,1996,30.9,79,507,50.4,0
2020-10-02 10:55:18 UTC,1997,30.9,78,504,50.7,0
2020-10-02 10:55:35 UTC,1998,30.9,79,502,50.9,0
2020-10-02 10:55:53 UTC,1999,30.9,85,504,50.7,0
2020-10-02 10:56:10 UTC,2000,30.9,80,504,50.7,0
2020-10-02 10:56:27 UTC,2001,30.9,81,504,50.7,0
2020-10-02 10:56:44 UTC,2002,30.9,84,504,50.7,0
2020-10-02 10:57:01 UTC,2003,30.8,83,504,50.7,0
2020-10-02 10:57:19 UTC,2004,30.8,83,505,50.6,0
2020-10-02 10:57:36 UTC,2005,30.8,83,508,50.3,0
2020-10-02 10:57:53 UTC,2006,30.8,81,505,50.6,0
2020-10-02 10:58:10 UTC,2007,30.8,82,505,50.6,0
2020-10-02 10:58:27 UTC,2008,30.8,82,508,50.3,0
2020-10-02 10:58:44 UTC,2009,30.8,79,504,50.7,0
2020-10-02 10:59:02 UTC,2010,30.8,79,504,50.7,0
2020-10-02 10:59:19 UTC,2011,30.8,79,508,50.3,0
2020-10-02 10:59:36 UTC,2012,30.8,82,504,50.7,0
2020-10-02 10:59:53 UTC,2013,30.8,79,504,50.7,0
2020-10-02 11:00:10 UTC,2014,30.8,80,502,50.9,0
2020-10-02 11:00:28 UTC,2015,30.8,83,502,50.9,0
2020-10-02 11:00:45 UTC,2016,30.8,83,507,50.4,0
2020-10-02 11:01:02 UTC,2017,30.8,82,506,50.5,0
2020-10-02 11:01:19 UTC,2018,30.8,83,506,50.5,0
2020-10-02 11:01:37 UTC,2019,30.8,84,500,51.1,0
2020-10-02 11:01:54 UTC,2020,30.8,83,500,51.1,0
2020-10-02 11:02:11 UTC,2021,30.8,80,500,51.1,0
2020-10-02 11:02:28 UTC,2022,30.8,83,500,51.1,0
2020-10-02 11:02:46 UTC,2023,30.8,83,500,51.1,0
2020-10-02 11:03:03 UTC,2024,30.8,82,500,51.1,0
2020-10-02 11:03:20 UTC,2025,30.8,81,499,51.2,0
2020-10-02 11:03:37 UTC,2026,30.8,81,500,51.1,0
2020-10-02 11:03:54 UTC,2027,30.8,83,499,51.2,0
2020-10-02 11:04:12 UTC,2028,30.8,81,499,51.2,0
2020-10-02 11:04:29 UTC,2029,30.8,80,499,51.2,0
2020-10-02 11:04:46 UTC,2030,30.8,81,501,51,0
2020-10-02 11:05:03 UTC,2031,30.8,81,496,51.5,0
2020-10-02 11:05:21 UTC,2032,30.8,83,496,51.5,0
2020-10-02 11:05:38 UTC,2033,30.8,83,495,51.6,0
2020-10-02 11:05:55 UTC,2034,30.8,81,495,51.6,0
2020-10-02 11:06:12 UTC,2035,30.8,83,500,51.1,0
2020-10-02 11:06:29 UTC,2036,30.8,82,495,51.6,0
2020-10-02 11:06:46 UTC,2037,30.8,81,499,51.2,0
2020-10-02 11:07:04 UTC,2038,30.8,81,499,51.2,0
2020-10-02 11:07:21 UTC,2039,30.8,82,499,51.2,0
2020-10-02 11:07:38 UTC,2040,30.8,83,497,51.4,0
2020-10-02 11:07:55 UTC,2041,30.8,80,497,51.4,0
2020-10-02 11:08:12 UTC,2042,30.8,81,497,51.4,0
2020-10-02 11:08:30 UTC,2043,30.8,83,497,51.4,0
2020-10-02 11:08:47 UTC,2044,30.8,84,493,51.8,0
2020-10-02 11:09:04 UTC,2045,30.8,81,493,51.8,0
2020-10-02 11:09:21 UTC,2046,30.8,83,493,51.8,0
2020-10-02 11:09:38 UTC,2047,30.8,82,493,51.8,0
2020-10-02 11:09:55 UTC,2048,30.8,81,493,51.8,0
2020-10-02 11:10:13 UTC,2049,30.7,80,490,52.1,0
2020-10-02 11:10:30 UTC,2050,30.7,82,493,51.8,0
2020-10-02 11:10:47 UTC,2051,30.7,81,496,51.5,0
2020-10-02 11:11:05 UTC,2052,30.7,82,490,52.1,0
2020-10-02 11:11:22 UTC,2053,30.7,81,496,51.5,0
2020-10-02 11:11:39 UTC,2054,30.7,81,493,51.8,0
2020-10-02 11:11:56 UTC,2055,30.7,83,490,52.1,0
2020-10-02 11:12:13 UTC,2056,30.7,81,490,52.1,0
2020-10-02 11:12:31 UTC,2057,30.7,82,493,51.8,0
2020-10-02 11:12:48 UTC,2058,30.7,82,490,52.1,0
2020-10-02 11:13:05 UTC,2059,30.7,82,496,51.5,0
2020-10-02 11:13:23 UTC,2060,30.7,84,496,51.5,0
2020-10-02 11:13:40 UTC,2061,30.7,82,490,52.1,0
2020-10-02 11:13:57 UTC,2062,30.7,81,496,51.5,0
2020-10-02 11:14:14 UTC,2063,30.7,81,489,52.2,0
2020-10-02 11:14:31 UTC,2064,30.7,83,490,52.1,0
2020-10-02 11:14:48 UTC,2065,30.7,81,490,52.1,0
2020-10-02 11:15:06 UTC,2066,30.7,81,495,51.6,0
2020-10-02 11:15:23 UTC,2067,30.7,84,495,51.6,0
2020-10-02 11:15:40 UTC,2068,30.7,83,489,52.2,0
2020-10-02 11:15:57 UTC,2069,30.7,84,490,52.1,0
2020-10-02 11:16:14 UTC,2070,30.7,83,490,52.1,0
2020-10-02 11:16:32 UTC,2071,30.7,82,489,52.2,0
2020-10-02 11:16:49 UTC,2072,30.7,84,489,52.2,0
2020-10-02 11:17:06 UTC,2073,30.7,84,489,52.2,0
2020-10-02 11:17:23 UTC,2074,30.7,85,489,52.2,0
2020-10-02 11:17:40 UTC,2075,30.7,85,495,51.6,0
2020-10-02 11:17:58 UTC,2076,30.7,84,489,52.2,0
2020-10-02 11:18:15 UTC,2077,30.7,83,489,52.2,0
2020-10-02 11:18:32 UTC,2078,30.7,82,489,52.2,0
2020-10-02 11:18:49 UTC,2079,30.7,83,489,52.2,0
2020-10-02 11:19:07 UTC,2080,30.7,83,489,52.2,0
2020-10-02 11:19:24 UTC,2081,30.6,84,495,51.6,0
2020-10-02 11:19:41 UTC,2082,30.7,86,489,52.2,0
2020-10-02 11:19:58 UTC,2083,30.7,86,488,52.3,0
2020-10-02 11:20:15 UTC,2084,30.7,82,488,52.3,0
2020-10-02 11:20:33 UTC,2085,30.7,85,488,52.3,0
2020-10-02 11:20:50 UTC,2086,30.7,82,494,51.7,0
2020-10-02 11:21:07 UTC,2087,30.7,84,494,51.7,0
2020-10-02 11:21:24 UTC,2088,30.7,82,494,51.7,0
2020-10-02 11:21:41 UTC,2089,30.7,83,488,52.3,0
2020-10-02 11:21:59 UTC,2090,30.8,85,487,52.4,0
2020-10-02 11:22:16 UTC,2091,30.8,84,488,52.3,0
2020-10-02 11:22:33 UTC,2092,30.8,83,488,52.3,0
2020-10-02 11:22:50 UTC,2093,30.8,83,488,52.3,0
2020-10-02 11:23:07 UTC,2094,30.8,81,494,51.7,0
2020-10-02 11:23:25 UTC,2095,30.8,81,488,52.3,0
2020-10-02 11:23:42 UTC,2096,30.8,83,488,52.3,0
2020-10-02 11:23:59 UTC,2097,30.8,83,488,52.3,0
2020-10-02 11:24:16 UTC,2098,30.8,82,488,52.3,0
2020-10-02 11:24:33 UTC,2099,30.7,83,488,52.3,0
2020-10-02 11:24:50 UTC,2100,30.7,84,488,52.3,0
2020-10-02 11:25:08 UTC,2101,30.7,82,488,52.3,0
2020-10-02 11:25:25 UTC,2102,30.7,83,488,52.3,0
2020-10-02 11:25:42 UTC,2103,30.6,81,488,52.3,0
2020-10-02 11:25:59 UTC,2104,30.7,83,488,52.3,0
2020-10-02 11:26:17 UTC,2105,30.7,83,494,51.7,0
2020-10-02 11:26:34 UTC,2106,30.7,82,488,52.3,0
2020-10-02 11:26:51 UTC,2107,30.7,83,488,52.3,0
2020-10-02 11:27:08 UTC,2108,30.7,83,494,51.7,0
2020-10-02 11:27:26 UTC,2109,30.7,82,488,52.3,0
2020-10-02 11:27:43 UTC,2110,30.6,83,494,51.7,0
2020-10-02 11:28:00 UTC,2111,30.6,83,493,51.8,0
2020-10-02 11:28:17 UTC,2112,30.7,81,494,51.7,0
2020-10-02 11:28:34 UTC,2113,30.7,81,487,52.4,0
2020-10-02 11:28:51 UTC,2114,30.6,83,487,52.4,0
2020-10-02 11:29:09 UTC,2115,30.6,82,493,51.8,0
2020-10-02 11:29:26 UTC,2116,30.6,85,487,52.4,0
2020-10-02 11:29:43 UTC,2117,30.6,85,490,52.1,0
2020-10-02 11:30:01 UTC,2118,30.6,84,492,51.9,0
